"","ADR","species","tag","month","year","tissue","stage","conc","method","biomass_kg","season","increment","wood"
"1438","3119","FRAM","101","September",2014,"stem","4cm",15.3,"total",33.9,"autumn","3-4","ring"
"1439","3120","FRAM","108","September",2014,"stem","4cm",25.3,"total",48.4,"autumn","3-4","ring"
"1440","3121","FRAM","123","September",2014,"stem","4cm",21.8,"total",23.9,"autumn","3-4","ring"
"1447","3128","QURU","104","November",2014,"stem","1cm",80.9,"total",94.3,"autumn","0-1","ring"
"1448","3129","QURU","107","November",2014,"stem","1cm",44.2,"total",94.3,"autumn","0-1","ring"
"1449","3130","QURU","109","November",2014,"stem","1cm",96.3,"total",104.7,"autumn","0-1","ring"
"1450","3131","QURU","115","November",2014,"stem","1cm",70.8,"total",53.5,"autumn","0-1","ring"
"1451","3132","QURU","117","November",2014,"stem","1cm",52.4,"total",50.7,"autumn","0-1","ring"
"1452","3133","QURU","118","November",2014,"stem","1cm",84.9,"total",66.8,"autumn","0-1","ring"
"1462","3143","FRAM","101","November",2014,"stem","1cm",152.3,"total",47.2,"autumn","0-1","ring"
"1463","3144","FRAM","108","November",2014,"stem","1cm",131.8,"total",63.2,"autumn","0-1","ring"
"1464","3145","FRAM","123","November",2014,"stem","1cm",151.5,"total",36,"autumn","0-1","ring"
"1471","3152","QURU","104","November",2014,"stem","2cm",36.1,"total",87.6,"autumn","1-2","ring"
"1472","3153","QURU","107","November",2014,"stem","2cm",13.4,"total",87.6,"autumn","1-2","ring"
"1473","3154","QURU","109","November",2014,"stem","2cm",33.8,"total",97.7,"autumn","1-2","ring"
"1474","3155","QURU","115","November",2014,"stem","2cm",13.6,"total",47.9,"autumn","1-2","ring"
"1475","3156","QURU","117","November",2014,"stem","2cm",20.2,"total",45.2,"autumn","1-2","ring"
"1476","3157","QURU","118","November",2014,"stem","2cm",28.1,"total",60.8,"autumn","1-2","ring"
"1486","3167","FRAM","101","November",2014,"stem","2cm",35,"total",42.6,"autumn","1-2","ring"
"1487","3168","FRAM","108","November",2014,"stem","2cm",24.7,"total",58.1,"autumn","1-2","ring"
"1488","3169","FRAM","123","November",2014,"stem","2cm",32.7,"total",31.8,"autumn","1-2","ring"
"1495","3176","QURU","104","November",2014,"stem","3cm",18.4,"total",81,"autumn","2-3","ring"
"1496","3177","QURU","107","November",2014,"stem","3cm",20.9,"total",81,"autumn","2-3","ring"
"1497","3178","QURU","109","November",2014,"stem","3cm",14.6,"total",90.9,"autumn","2-3","ring"
"1498","3179","QURU","115","November",2014,"stem","3cm",16.6,"total",42.5,"autumn","2-3","ring"
"1499","3180","QURU","117","November",2014,"stem","3cm",18.3,"total",39.8,"autumn","2-3","ring"
"1500","3181","QURU","118","November",2014,"stem","3cm",14.3,"total",55,"autumn","2-3","ring"
"1510","3191","FRAM","101","November",2014,"stem","3cm",22,"total",38.1,"autumn","2-3","ring"
"1511","3192","FRAM","108","November",2014,"stem","3cm",29.4,"total",53.2,"autumn","2-3","ring"
"1512","3193","FRAM","123","November",2014,"stem","3cm",23.4,"total",27.7,"autumn","2-3","ring"
"1519","3200","QURU","104","November",2014,"stem","4cm",20.3,"total",74.6,"autumn","3-4","ring"
"1520","3201","QURU","107","November",2014,"stem","4cm",13,"total",74.6,"autumn","3-4","ring"
"1521","3202","QURU","109","November",2014,"stem","4cm",14.5,"total",84.3,"autumn","3-4","ring"
"1522","3203","QURU","115","November",2014,"stem","4cm",13.5,"total",37.2,"autumn","3-4","ring"
"1523","3204","QURU","117","November",2014,"stem","4cm",16.9,"total",34.7,"autumn","3-4","ring"
"1524","3205","QURU","118","November",2014,"stem","4cm",15.4,"total",49.3,"autumn","3-4","ring"
"1534","3215","FRAM","101","November",2014,"stem","4cm",10.2,"total",33.9,"autumn","3-4","ring"
"1535","3216","FRAM","108","November",2014,"stem","4cm",30.3,"total",48.4,"autumn","3-4","ring"
"1536","3217","FRAM","123","November",2014,"stem","4cm",21.8,"total",23.9,"autumn","3-4","ring"
"1543","3224","QURU","104","January",2014,"stem","3cm",23.7,"total",81,"winter","2-3","ring"
"1544","3225","QURU","107","January",2014,"stem","3cm",11.6,"total",81,"winter","2-3","ring"
"1545","3226","QURU","109","January",2014,"stem","3cm",15.1,"total",90.9,"winter","2-3","ring"
"1546","3227","QURU","115","January",2014,"stem","3cm",14.6,"total",42.5,"winter","2-3","ring"
"1547","3228","QURU","117","January",2014,"stem","3cm",17.2,"total",39.8,"winter","2-3","ring"
"1548","3229","QURU","118","January",2014,"stem","3cm",12.8,"total",55,"winter","2-3","ring"
"1558","3239","FRAM","101","January",2014,"stem","3cm",28.1,"total",38.1,"winter","2-3","ring"
"1559","3240","FRAM","108","January",2014,"stem","3cm",37.3,"total",53.2,"winter","2-3","ring"
"1560","3241","FRAM","123","January",2014,"stem","3cm",27.9,"total",27.7,"winter","2-3","ring"
"1567","3248","QURU","104","January",2014,"stem","4cm",13.6,"total",74.6,"winter","3-4","ring"
"1568","3249","QURU","107","January",2014,"stem","4cm",16.6,"total",74.6,"winter","3-4","ring"
"1569","3250","QURU","109","January",2014,"stem","4cm",14.8,"total",84.3,"winter","3-4","ring"
"1570","3251","QURU","115","January",2014,"stem","4cm",16.1,"total",37.2,"winter","3-4","ring"
"1571","3252","QURU","117","January",2014,"stem","4cm",14.5,"total",34.7,"winter","3-4","ring"
"1572","3253","QURU","118","January",2014,"stem","4cm",15.8,"total",49.3,"winter","3-4","ring"
"1582","3263","FRAM","101","January",2014,"stem","4cm",15.1,"total",33.9,"winter","3-4","ring"
"1583","3264","FRAM","108","January",2014,"stem","4cm",30.7,"total",48.4,"winter","3-4","ring"
"1584","3265","FRAM","123","January",2014,"stem","4cm",28.4,"total",23.9,"winter","3-4","ring"
"1591","3272","QURU","104","April",2014,"stem","3cm",15.5,"total",81,"spring","2-3","ring"
"1592","3273","QURU","107","April",2014,"stem","3cm",15.9,"total",81,"spring","2-3","ring"
"1593","3274","QURU","109","April",2014,"stem","3cm",13.5,"total",90.9,"spring","2-3","ring"
"1594","3275","QURU","115","April",2014,"stem","3cm",13.5,"total",42.5,"spring","2-3","ring"
"1595","3276","QURU","117","April",2014,"stem","3cm",13.9,"total",39.8,"spring","2-3","ring"
"1596","3277","QURU","118","April",2014,"stem","3cm",22,"total",55,"spring","2-3","ring"
"1606","3287","FRAM","101","April",2014,"stem","3cm",20.7,"total",38.1,"spring","2-3","ring"
"1607","3288","FRAM","108","April",2014,"stem","3cm",25.2,"total",53.2,"spring","2-3","ring"
"1608","3289","FRAM","123","April",2014,"stem","3cm",17.9,"total",27.7,"spring","2-3","ring"
"1615","3296","QURU","104","April",2014,"stem","4cm",10.7,"total",74.6,"spring","3-4","ring"
"1616","3297","QURU","107","April",2014,"stem","4cm",11.6,"total",74.6,"spring","3-4","ring"
"1617","3298","QURU","109","April",2014,"stem","4cm",10.8,"total",84.3,"spring","3-4","ring"
"1618","3299","QURU","115","April",2014,"stem","4cm",9.1,"total",37.2,"spring","3-4","ring"
"1619","3300","QURU","117","April",2014,"stem","4cm",11.2,"total",34.7,"spring","3-4","ring"
"1620","3301","QURU","118","April",2014,"stem","4cm",15,"total",49.3,"spring","3-4","ring"
"1630","3311","FRAM","101","April",2014,"stem","4cm",13.2,"total",33.9,"spring","3-4","ring"
"1631","3312","FRAM","108","April",2014,"stem","4cm",28.9,"total",48.4,"spring","3-4","ring"
"1632","3313","FRAM","123","April",2014,"stem","4cm",14.6,"total",23.9,"spring","3-4","ring"
"1639","3320","QURU","104","August",2014,"stem","3cm",13.3,"total",81,"summer","2-3","ring"
"1640","3321","QURU","107","August",2014,"stem","3cm",14.2,"total",81,"summer","2-3","ring"
"1641","3322","QURU","109","August",2014,"stem","3cm",20.9,"total",90.9,"summer","2-3","ring"
"1642","3323","QURU","115","August",2014,"stem","3cm",16.7,"total",42.5,"summer","2-3","ring"
"1643","3324","QURU","117","August",2014,"stem","3cm",16.2,"total",39.8,"summer","2-3","ring"
"1644","3325","QURU","118","August",2014,"stem","3cm",10.7,"total",55,"summer","2-3","ring"
"1654","3335","FRAM","101","August",2014,"stem","3cm",26.1,"total",38.1,"summer","2-3","ring"
"1655","3336","FRAM","108","August",2014,"stem","3cm",17.8,"total",53.2,"summer","2-3","ring"
"1656","3337","FRAM","123","August",2014,"stem","3cm",12.4,"total",27.7,"summer","2-3","ring"
"1663","3344","QURU","104","August",2014,"stem","4cm",15,"total",74.6,"summer","3-4","ring"
"1664","3345","QURU","107","August",2014,"stem","4cm",11.5,"total",74.6,"summer","3-4","ring"
"1665","3346","QURU","109","August",2014,"stem","4cm",13.7,"total",84.3,"summer","3-4","ring"
"1666","3347","QURU","115","August",2014,"stem","4cm",14.3,"total",37.2,"summer","3-4","ring"
"1667","3348","QURU","117","August",2014,"stem","4cm",14.4,"total",34.7,"summer","3-4","ring"
"1668","3349","QURU","118","August",2014,"stem","4cm",17.7,"total",49.3,"summer","3-4","ring"
"1678","3359","FRAM","101","August",2014,"stem","4cm",12.9,"total",33.9,"summer","3-4","ring"
"1679","3360","FRAM","108","August",2014,"stem","4cm",19.3,"total",48.4,"summer","3-4","ring"
"1680","3361","FRAM","123","August",2014,"stem","4cm",11.1,"total",23.9,"summer","3-4","ring"
"1687","3368","QURU","104","October",2014,"stem","3cm",16.9,"total",81,"autumn","2-3","ring"
"1688","3369","QURU","107","October",2014,"stem","3cm",15,"total",81,"autumn","2-3","ring"
"1689","3370","QURU","109","October",2014,"stem","3cm",16.4,"total",90.9,"autumn","2-3","ring"
"1690","3371","QURU","115","October",2014,"stem","3cm",14.2,"total",42.5,"autumn","2-3","ring"
"1691","3372","QURU","117","October",2014,"stem","3cm",13.4,"total",39.8,"autumn","2-3","ring"
"1692","3373","QURU","118","October",2014,"stem","3cm",11.3,"total",55,"autumn","2-3","ring"
"1702","3383","FRAM","101","October",2014,"stem","3cm",18.1,"total",38.1,"autumn","2-3","ring"
"1703","3384","FRAM","108","October",2014,"stem","3cm",20.2,"total",53.2,"autumn","2-3","ring"
"1704","3385","FRAM","123","October",2014,"stem","3cm",17.5,"total",27.7,"autumn","2-3","ring"
"1711","3392","QURU","104","October",2014,"stem","4cm",13,"total",74.6,"autumn","3-4","ring"
"1712","3393","QURU","107","October",2014,"stem","4cm",16.5,"total",74.6,"autumn","3-4","ring"
"1713","3394","QURU","109","October",2014,"stem","4cm",12.3,"total",84.3,"autumn","3-4","ring"
"1714","3395","QURU","115","October",2014,"stem","4cm",15,"total",37.2,"autumn","3-4","ring"
"1715","3396","QURU","117","October",2014,"stem","4cm",11.4,"total",34.7,"autumn","3-4","ring"
"1716","3397","QURU","118","October",2014,"stem","4cm",11.1,"total",49.3,"autumn","3-4","ring"
"1726","3407","FRAM","101","October",2014,"stem","4cm",10.2,"total",33.9,"autumn","3-4","ring"
"1727","3408","FRAM","108","October",2014,"stem","4cm",20.1,"total",48.4,"autumn","3-4","ring"
"1728","3409","FRAM","123","October",2014,"stem","4cm",13.6,"total",23.9,"autumn","3-4","ring"
"1747","4261","QURU","104","June",2014,"stem","4-8cm",16.8,"total",267.1,"summer","4-8","ring"
"1748","4262","QURU","107","June",2014,"stem","4-8cm",14.5,"total",267.1,"summer","4-8","ring"
"1749","4263","QURU","109","June",2014,"stem","4-8cm",13.6,"total",314.7,"summer","4-8","ring"
"1750","4264","QURU","115","June",2014,"stem","4-8cm",14.2,"total",104.5,"summer","4-8","ring"
"1751","4265","QURU","117","June",2014,"stem","4-8cm",8.4,"total",94.8,"summer","4-8","ring"
"1752","4266","QURU","118","June",2014,"stem","4-8cm",15.3,"total",153,"summer","4-8","ring"
"1753","4267","QURU","104","October",2014,"stem","4-8cm",14.4,"total",267.1,"autumn","4-8","ring"
"1754","4268","QURU","107","October",2014,"stem","4-8cm",16.4,"total",267.1,"autumn","4-8","ring"
"1755","4269","QURU","109","October",2014,"stem","4-8cm",17.2,"total",314.7,"autumn","4-8","ring"
"1756","4270","QURU","115","October",2014,"stem","4-8cm",16.4,"total",104.5,"autumn","4-8","ring"
"1757","4271","QURU","117","October",2014,"stem","4-8cm",25.2,"total",94.8,"autumn","4-8","ring"
"1758","4272","QURU","118","October",2014,"stem","4-8cm",15,"total",153,"autumn","4-8","ring"
"1792","4306","FRAM","101","June",2014,"stem","4-8cm",12,"total",82.8,"summer","4-8","ring"
"1793","4307","FRAM","108","June",2014,"stem","4-8cm",11.2,"total",122,"summer","4-8","ring"
"1794","4308","FRAM","123","June",2014,"stem","4-8cm",15,"total",55.3,"summer","4-8","ring"
"1795","4309","FRAM","101","October",2014,"stem","4-8cm",8.4,"total",82.8,"autumn","4-8","ring"
"1796","4310","FRAM","108","October",2014,"stem","4-8cm",10.9,"total",122,"autumn","4-8","ring"
"1797","4311","FRAM","123","October",2014,"stem","4-8cm",17.1,"total",55.3,"autumn","4-8","ring"
"1807","4321","QURU","104","January",2014,"stem","4-8cm",15.9,"total",267.1,"winter","4-8","ring"
"1808","4322","QURU","107","January",2014,"stem","4-8cm",18.2,"total",267.1,"winter","4-8","ring"
"1809","4323","QURU","109","January",2014,"stem","4-8cm",14.4,"total",314.7,"winter","4-8","ring"
"1810","4324","QURU","115","January",2014,"stem","4-8cm",14.5,"total",104.5,"winter","4-8","ring"
"1811","4325","QURU","117","January",2014,"stem","4-8cm",15,"total",94.8,"winter","4-8","ring"
"1812","4326","QURU","118","January",2014,"stem","4-8cm",16.1,"total",153,"winter","4-8","ring"
"1822","4336","FRAM","101","January",2014,"stem","4-8cm",9.8,"total",82.8,"winter","4-8","ring"
"1823","4337","FRAM","108","January",2014,"stem","4-8cm",18.4,"total",122,"winter","4-8","ring"
"1824","4338","FRAM","123","January",2014,"stem","4-8cm",19.1,"total",55.3,"winter","4-8","ring"
"1831","4345","QURU","104","February",2014,"stem","4-8cm",13.5,"total",267.1,"winter","4-8","ring"
"1832","4346","QURU","107","February",2014,"stem","4-8cm",13.7,"total",267.1,"winter","4-8","ring"
"1833","4347","QURU","109","February",2014,"stem","4-8cm",19.1,"total",314.7,"winter","4-8","ring"
"1834","4348","QURU","115","February",2014,"stem","4-8cm",15.4,"total",104.5,"winter","4-8","ring"
"1835","4349","QURU","117","February",2014,"stem","4-8cm",20.1,"total",94.8,"winter","4-8","ring"
"1836","4350","QURU","118","February",2014,"stem","4-8cm",18.8,"total",153,"winter","4-8","ring"
"1846","4360","FRAM","101","February",2014,"stem","4-8cm",12.4,"total",82.8,"winter","4-8","ring"
"1847","4361","FRAM","108","February",2014,"stem","4-8cm",30.2,"total",122,"winter","4-8","ring"
"1848","4362","FRAM","123","February",2014,"stem","4-8cm",18.4,"total",55.3,"winter","4-8","ring"
"1855","4369","QURU","104","March",2014,"stem","4-8cm",15.5,"total",267.1,"spring","4-8","ring"
"1856","4370","QURU","107","March",2014,"stem","4-8cm",19.4,"total",267.1,"spring","4-8","ring"
"1857","4371","QURU","109","March",2014,"stem","4-8cm",22.6,"total",314.7,"spring","4-8","ring"
"1858","4372","QURU","115","March",2014,"stem","4-8cm",14.7,"total",104.5,"spring","4-8","ring"
"1859","4373","QURU","117","March",2014,"stem","4-8cm",16.7,"total",94.8,"spring","4-8","ring"
"1860","4374","QURU","118","March",2014,"stem","4-8cm",16.8,"total",153,"spring","4-8","ring"
"1870","4384","FRAM","101","March",2014,"stem","4-8cm",13.6,"total",82.8,"spring","4-8","ring"
"1871","4385","FRAM","108","March",2014,"stem","4-8cm",27.6,"total",122,"spring","4-8","ring"
"1872","4386","FRAM","123","March",2014,"stem","4-8cm",18,"total",55.3,"spring","4-8","ring"
"1879","4393","QURU","104","April",2014,"stem","4-8cm",19.3,"total",267.1,"spring","4-8","ring"
"1880","4394","QURU","107","April",2014,"stem","4-8cm",15.4,"total",267.1,"spring","4-8","ring"
"1881","4395","QURU","109","April",2014,"stem","4-8cm",17.4,"total",314.7,"spring","4-8","ring"
"1882","4396","QURU","115","April",2014,"stem","4-8cm",13.8,"total",104.5,"spring","4-8","ring"
"1883","4397","QURU","117","April",2014,"stem","4-8cm",14.1,"total",94.8,"spring","4-8","ring"
"1884","4398","QURU","118","April",2014,"stem","4-8cm",14.4,"total",153,"spring","4-8","ring"
"1894","4408","FRAM","101","April",2014,"stem","4-8cm",9,"total",82.8,"spring","4-8","ring"
"1895","4409","FRAM","108","April",2014,"stem","4-8cm",23.9,"total",122,"spring","4-8","ring"
"1896","4410","FRAM","123","April",2014,"stem","4-8cm",17.9,"total",55.3,"spring","4-8","ring"
"1903","4417","QURU","104","May",2014,"stem","4-8cm",15.3,"total",267.1,"spring","4-8","ring"
"1904","4418","QURU","107","May",2014,"stem","4-8cm",15.6,"total",267.1,"spring","4-8","ring"
"1905","4419","QURU","109","May",2014,"stem","4-8cm",17.2,"total",314.7,"spring","4-8","ring"
"1906","4420","QURU","115","May",2014,"stem","4-8cm",13,"total",104.5,"spring","4-8","ring"
"1907","4421","QURU","117","May",2014,"stem","4-8cm",14.8,"total",94.8,"spring","4-8","ring"
"1908","4422","QURU","118","May",2014,"stem","4-8cm",12.9,"total",153,"spring","4-8","ring"
"1918","4432","FRAM","101","May",2014,"stem","4-8cm",9.9,"total",82.8,"spring","4-8","ring"
"1919","4433","FRAM","108","May",2014,"stem","4-8cm",23.2,"total",122,"spring","4-8","ring"
"1920","4434","FRAM","123","May",2014,"stem","4-8cm",17.4,"total",55.3,"spring","4-8","ring"
"1927","4441","QURU","104","July",2014,"stem","4-8cm",13.4,"total",267.1,"summer","4-8","ring"
"1928","4442","QURU","107","July",2014,"stem","4-8cm",13.9,"total",267.1,"summer","4-8","ring"
"1929","4443","QURU","109","July",2014,"stem","4-8cm",15.4,"total",314.7,"summer","4-8","ring"
"1930","4444","QURU","115","July",2014,"stem","4-8cm",9.8,"total",104.5,"summer","4-8","ring"
"1931","4445","QURU","117","July",2014,"stem","4-8cm",13.3,"total",94.8,"summer","4-8","ring"
"1932","4446","QURU","118","July",2014,"stem","4-8cm",13.7,"total",153,"summer","4-8","ring"
"1942","4456","FRAM","101","July",2014,"stem","4-8cm",8.8,"total",82.8,"summer","4-8","ring"
"1943","4457","FRAM","108","July",2014,"stem","4-8cm",19,"total",122,"summer","4-8","ring"
"1944","4458","FRAM","123","July",2014,"stem","4-8cm",15.2,"total",55.3,"summer","4-8","ring"
"1951","4465","QURU","104","August",2014,"stem","4-8cm",13.4,"total",267.1,"summer","4-8","ring"
"1952","4466","QURU","107","August",2014,"stem","4-8cm",12.3,"total",267.1,"summer","4-8","ring"
"1953","4467","QURU","109","August",2014,"stem","4-8cm",14.4,"total",314.7,"summer","4-8","ring"
"1954","4468","QURU","115","August",2014,"stem","4-8cm",11.6,"total",104.5,"summer","4-8","ring"
"1955","4469","QURU","117","August",2014,"stem","4-8cm",12.8,"total",94.8,"summer","4-8","ring"
"1956","4470","QURU","118","August",2014,"stem","4-8cm",15.1,"total",153,"summer","4-8","ring"
"1966","4480","FRAM","101","August",2014,"stem","4-8cm",7.1,"total",82.8,"summer","4-8","ring"
"1967","4481","FRAM","108","August",2014,"stem","4-8cm",22.5,"total",122,"summer","4-8","ring"
"1968","4482","FRAM","123","August",2014,"stem","4-8cm",18.6,"total",55.3,"summer","4-8","ring"
"1975","4489","QURU","104","September",2014,"stem","4-8cm",13,"total",267.1,"autumn","4-8","ring"
"1976","4490","QURU","107","September",2014,"stem","4-8cm",11.7,"total",267.1,"autumn","4-8","ring"
"1977","4491","QURU","109","September",2014,"stem","4-8cm",23.1,"total",314.7,"autumn","4-8","ring"
"1978","4492","QURU","115","September",2014,"stem","4-8cm",11.9,"total",104.5,"autumn","4-8","ring"
"1979","4493","QURU","117","September",2014,"stem","4-8cm",27.8,"total",94.8,"autumn","4-8","ring"
"1980","4494","QURU","118","September",2014,"stem","4-8cm",14.2,"total",153,"autumn","4-8","ring"
"1990","4504","FRAM","101","September",2014,"stem","4-8cm",9.2,"total",82.8,"autumn","4-8","ring"
"1991","4505","FRAM","108","September",2014,"stem","4-8cm",18.5,"total",122,"autumn","4-8","ring"
"1992","4506","FRAM","123","September",2014,"stem","4-8cm",17.1,"total",55.3,"autumn","4-8","ring"
"1999","4513","QURU","104","November",2014,"stem","4-8cm",14,"total",267.1,"autumn","4-8","ring"
"2000","4514","QURU","107","November",2014,"stem","4-8cm",11,"total",267.1,"autumn","4-8","ring"
"2001","4515","QURU","109","November",2014,"stem","4-8cm",15.1,"total",314.7,"autumn","4-8","ring"
"2002","4516","QURU","115","November",2014,"stem","4-8cm",11.1,"total",104.5,"autumn","4-8","ring"
"2003","4517","QURU","117","November",2014,"stem","4-8cm",13.3,"total",94.8,"autumn","4-8","ring"
"2004","4518","QURU","118","November",2014,"stem","4-8cm",12.2,"total",153,"autumn","4-8","ring"
"2014","4528","FRAM","101","November",2014,"stem","4-8cm",6.9,"total",82.8,"autumn","4-8","ring"
"2015","4529","FRAM","108","November",2014,"stem","4-8cm",19.3,"total",122,"autumn","4-8","ring"
"2016","4530","FRAM","123","November",2014,"stem","4-8cm",12.4,"total",55.3,"autumn","4-8","ring"
"2023","4537","QURU","104","January",2014,"stem","8cm-pith",12.6,"total",216,"winter","8-pith","ring"
"2024","4538","QURU","107","January",2014,"stem","8cm-pith",14.5,"total",216,"winter","8-pith","ring"
"2025","4539","QURU","109","January",2014,"stem","8cm-pith",15.2,"total",282.8,"winter","8-pith","ring"
"2026","4540","QURU","115","January",2014,"stem","8cm-pith",16.9,"total",37.9,"winter","8-pith","ring"
"2027","4541","QURU","117","January",2014,"stem","8cm-pith",14.3,"total",30.9,"winter","8-pith","ring"
"2028","4542","QURU","118","January",2014,"stem","8cm-pith",15.3,"total",80.5,"winter","8-pith","ring"
"2038","4552","FRAM","101","January",2014,"stem","8cm-pith",11.3,"total",64.3,"winter","8-pith","ring"
"2039","4553","FRAM","108","January",2014,"stem","8cm-pith",10.7,"total",151,"winter","8-pith","ring"
"2040","4554","FRAM","123","January",2014,"stem","8cm-pith",10.1,"total",24.7,"winter","8-pith","ring"
"2047","4561","QURU","104","July",2014,"stem","8cm-pith",12.6,"total",216,"summer","8-pith","ring"
"2048","4562","QURU","107","July",2014,"stem","8cm-pith",14.5,"total",216,"summer","8-pith","ring"
"2049","4563","QURU","109","July",2014,"stem","8cm-pith",15.2,"total",282.8,"summer","8-pith","ring"
"2050","4564","QURU","115","July",2014,"stem","8cm-pith",16.9,"total",37.9,"summer","8-pith","ring"
"2051","4565","QURU","117","July",2014,"stem","8cm-pith",14.3,"total",30.9,"summer","8-pith","ring"
"2052","4566","QURU","118","July",2014,"stem","8cm-pith",15.3,"total",80.5,"summer","8-pith","ring"
"2062","4576","FRAM","101","July",2014,"stem","8cm-pith",11.3,"total",64.3,"summer","8-pith","ring"
"2063","4577","FRAM","108","July",2014,"stem","8cm-pith",10.7,"total",151,"summer","8-pith","ring"
"2064","4578","FRAM","123","July",2014,"stem","8cm-pith",10.1,"total",24.7,"summer","8-pith","ring"
"2365","1113","QURU","104","January",2014,"stem","1cm",40.6,"sugar",94.3,"winter","0-1","ring"
"2366","1114","QURU","104","January",2014,"stem","2cm",17.4,"sugar",87.6,"winter","1-2","ring"
"2367","1115","QURU","107","January",2014,"stem","1cm",41.5,"sugar",94.3,"winter","0-1","ring"
"2368","1116","QURU","107","January",2014,"stem","2cm",10.3,"sugar",87.6,"winter","1-2","ring"
"2369","1117","QURU","109","January",2014,"stem","1cm",51.1,"sugar",104.7,"winter","0-1","ring"
"2370","1118","QURU","109","January",2014,"stem","2cm",17.7,"sugar",97.7,"winter","1-2","ring"
"2371","1119","QURU","115","January",2014,"stem","1cm",49.6,"sugar",53.5,"winter","0-1","ring"
"2372","1120","QURU","115","January",2014,"stem","2cm",13.7,"sugar",47.9,"winter","1-2","ring"
"2373","1121","QURU","117","January",2014,"stem","1cm",45,"sugar",50.7,"winter","0-1","ring"
"2374","1122","QURU","117","January",2014,"stem","2cm",20,"sugar",45.2,"winter","1-2","ring"
"2375","1123","QURU","118","January",2014,"stem","1cm",47.9,"sugar",66.8,"winter","0-1","ring"
"2376","1124","QURU","118","January",2014,"stem","2cm",14.7,"sugar",60.8,"winter","1-2","ring"
"2395","1143","FRAM","101","January",2014,"stem","1cm",58.2,"sugar",47.2,"winter","0-1","ring"
"2396","1144","FRAM","101","January",2014,"stem","2cm",30.5,"sugar",42.6,"winter","1-2","ring"
"2397","1145","FRAM","108","January",2014,"stem","1cm",34.5,"sugar",63.2,"winter","0-1","ring"
"2398","1146","FRAM","108","January",2014,"stem","2cm",31,"sugar",58.1,"winter","1-2","ring"
"2399","1147","FRAM","123","January",2014,"stem","1cm",49.9,"sugar",36,"winter","0-1","ring"
"2400","1148","FRAM","123","January",2014,"stem","2cm",24.9,"sugar",31.8,"winter","1-2","ring"
"2413","1161","QURU","104","July",2014,"stem","1cm",15.3,"sugar",94.3,"summer","0-1","ring"
"2414","1162","QURU","104","July",2014,"stem","2cm",13.3,"sugar",87.6,"summer","1-2","ring"
"2415","1163","QURU","107","July",2014,"stem","1cm",12.4,"sugar",94.3,"summer","0-1","ring"
"2416","1164","QURU","107","July",2014,"stem","2cm",11.8,"sugar",87.6,"summer","1-2","ring"
"2417","1165","QURU","109","July",2014,"stem","1cm",18,"sugar",104.7,"summer","0-1","ring"
"2418","1166","QURU","109","July",2014,"stem","2cm",18.2,"sugar",97.7,"summer","1-2","ring"
"2419","1167","QURU","115","July",2014,"stem","1cm",23.7,"sugar",53.5,"summer","0-1","ring"
"2420","1168","QURU","115","July",2014,"stem","2cm",10.2,"sugar",47.9,"summer","1-2","ring"
"2421","1169","QURU","117","July",2014,"stem","1cm",19.5,"sugar",50.7,"summer","0-1","ring"
"2422","1170","QURU","117","July",2014,"stem","2cm",20.7,"sugar",45.2,"summer","1-2","ring"
"2423","1171","QURU","118","July",2014,"stem","1cm",18.8,"sugar",66.8,"summer","0-1","ring"
"2424","1172","QURU","118","July",2014,"stem","2cm",20.5,"sugar",60.8,"summer","1-2","ring"
"2443","1191","FRAM","101","July",2014,"stem","1cm",33.7,"sugar",47.2,"summer","0-1","ring"
"2444","1192","FRAM","101","July",2014,"stem","2cm",21.4,"sugar",42.6,"summer","1-2","ring"
"2445","1193","FRAM","108","July",2014,"stem","1cm",18,"sugar",63.2,"summer","0-1","ring"
"2446","1194","FRAM","108","July",2014,"stem","2cm",41,"sugar",58.1,"summer","1-2","ring"
"2447","1195","FRAM","123","July",2014,"stem","1cm",31.1,"sugar",36,"summer","0-1","ring"
"2448","1196","FRAM","123","July",2014,"stem","2cm",6.6,"sugar",31.8,"summer","1-2","ring"
"2551","1352","QURU","104","June",2014,"stem","3cm",8.3,"sugar",81,"summer","2-3","ring"
"2552","1353","QURU","107","June",2014,"stem","3cm",10.1,"sugar",81,"summer","2-3","ring"
"2553","1354","QURU","109","June",2014,"stem","3cm",7.7,"sugar",90.9,"summer","2-3","ring"
"2554","1355","QURU","115","June",2014,"stem","3cm",12,"sugar",42.5,"summer","2-3","ring"
"2555","1356","QURU","117","June",2014,"stem","3cm",9.3,"sugar",39.8,"summer","2-3","ring"
"2556","1357","QURU","118","June",2014,"stem","3cm",7.4,"sugar",55,"summer","2-3","ring"
"2566","1367","FRAM","101","June",2014,"stem","3cm",30,"sugar",38.1,"summer","2-3","ring"
"2567","1368","FRAM","108","June",2014,"stem","3cm",17.7,"sugar",53.2,"summer","2-3","ring"
"2568","1369","FRAM","123","June",2014,"stem","3cm",19.8,"sugar",27.7,"summer","2-3","ring"
"2599","1400","QURU","104","June",2014,"stem","4cm",10,"sugar",74.6,"summer","3-4","ring"
"2600","1401","QURU","107","June",2014,"stem","4cm",9.2,"sugar",74.6,"summer","3-4","ring"
"2601","1402","QURU","109","June",2014,"stem","4cm",11.3,"sugar",84.3,"summer","3-4","ring"
